"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-23 ~ 2025-07-22"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"653","충청북도 충주시 단월동","3**","다가구","12m미만","469.54","217.00","202507","08","42,000","개인","개인","2002","충열4길","-","중개거래","충북 충주시"
"654","전라남도 무안군 무안읍 성동리","8**","단독","12m미만","42.97","210.00","202507","08","15,000","개인","개인","1956","성안길","-","직거래","-"
"655","인천광역시 미추홀구 주안동","1***","단독","8m미만","143.63","134.50","202507","08","33,700","개인","개인","1981","동주길29번길","-","중개거래","인천 미추홀구"
"656","전라남도 구례군 산동면 대평리","4**","단독","12m미만","169.70","655.00","202507","08","16,000","개인","개인","2019","대음길","-","직거래","-"
"657","경기도 화성시 우정읍 조암리","5**","단독","8m미만","142.74","531.00","202507","08","48,500","법인","법인","2020","조암말미길","20250716","중개거래","경기 화성시"
"658","경기도 화성시 우정읍 조암리","5**","단독","8m미만","142.74","531.00","202507","08","48,900","법인","법인","2020","조암말미길","-","중개거래","경기 화성시"
"659","경기도 수원시 권선구 세류동","1***","단독","25m미만","190.96","131.00","202507","08","46,000","개인","개인","1994","세지로","-","중개거래","경기 수원시 권선구"
"660","충청북도 청주시 상당구 대성동","3*","단독","8m미만","99.12","145.60","202507","08","18,200","개인","개인","1985","당산로","-","중개거래","충북 청주시 상당구"
"661","전라남도 구례군 용방면 죽정리","5**","단독","8m미만","99.30","410.00","202507","08","6,300","개인","개인","1946","죽정길","-","직거래","-"
"662","경기도 성남시 수정구 수진동","2**","다가구","8m미만","109.40","63.50","202507","08","72,500","개인","개인","1993","수정남로52번길","-","중개거래","경기 성남시 수정구"
"663","충청북도 청주시 서원구 모충동","2**","다가구","25m미만","537.98","290.00","202507","08","86,300","개인","개인","2014","쌍샘로","-","중개거래","충북 청주시 상당구"
"664","강원특별자치도 인제군 기린면 방동리","3*","단독","8m미만","118.27","226.00","202507","08","3,000","개인","개인","1998","방동약수로","-","중개거래","경기 의정부시"
"665","경기도 수원시 팔달구 우만동","5**","다가구","12m미만","341.44","143.60","202507","08","52,000","개인","개인","1997","팔달문로131번길","-","직거래","-"
"666","충청남도 아산시 용화동","3**","단독","8m미만","85.90","152.00","202507","08","19,700","개인","개인","1989","시민로329번길","-","중개거래","충남 아산시"
"667","전북특별자치도 완주군 봉동읍 구미리","7**","단독","8m미만","99.80","880.00","202507","08","25,000","개인","개인","2016","구미1길","-","중개거래","전북 전주시 덕진구"
"668","경기도 화성시 장안면 독정리","7*","단독","8m미만","39.66","403.00","202507","08","16,430","법인","개인","1977","풍무길","-","직거래","-"
"669","전북특별자치도 익산시 함열읍 석매리","1**","단독","8m미만","76.80","229.66","202507","08","1,550","개인","개인","1993","상지원길","-","직거래","-"
"670","경상북도 성주군 초전면 용성리","2**","단독","8m미만","95.38","535.00","202507","08","10,250","개인","개인","2010","용성2길","-","직거래","-"
"671","경기도 여주시 점동면 청안리","1**","단독","8m미만","142.71","360.00","202507","08","38,400","개인","개인","2021","안말2길","-","중개거래","경기 여주시"
"672","경기도 여주시 가남읍 송림리","4**","단독","8m미만","88.56","660.00","202507","08","31,500","개인","개인","2012","송삼로","-","중개거래","경기 여주시"
"673","전북특별자치도 익산시 왕궁면 쌍제리","2**","단독","8m미만","71.90","460.00","202507","08","3,400","개인","개인","0001","쌍제오룡길","-","직거래","-"
"674","경기도 화성시 정남면 수면리","2*","단독","8m미만","239.76","815.00","202507","08","63,412","개인","개인","2005","수면길31번길","-","중개거래","경기 화성시"
"675","경상북도 칠곡군 석적읍 중리","2**","다가구","25m미만","529.64","321.10","202507","08","48,500","개인","개인","2007","남중리6길","-","중개거래","대구 달서구"
"676","부산광역시 금정구 장전동","7*","단독","8m미만","46.28","106.00","202507","08","25,000","개인","개인","1972","금강로335번길","-","직거래","-"
"677","경상북도 영천시 금호읍 신대리","1**","단독","12m미만","66.69","327.00","202507","08","10,000","개인","개인","2000","신대길","-","직거래","-"
"678","광주광역시 동구 지산동","1**","단독","8m미만","123.23","92.00","202507","08","10,000","개인","개인","1979","지호로52번길","-","직거래","-"
"679","충청북도 청주시 흥덕구 강내면 다락리","3**","단독","12m미만","86.76","640.00","202507","08","41,337","개인","개인","1997","다락1길","-","중개거래","충북 청주시 흥덕구"
"680","경상북도 경주시 외동읍 녹동리","6**","단독","8m미만","46.00","317.00","202507","08","4,000","개인","개인","1972","남방길","-","직거래","-"
"681","서울특별시 강북구 수유동","4**","단독","8m미만","174.91","175.00","202507","08","100,000","공공기관","개인","1973","인수봉로48길","-","중개거래","서울 강북구"
"682","전라남도 영암군 영암읍 대신리","1**","단독","8m미만","35.70","413.00","202507","08","1,100","개인","개인","1970","신복대내길","-","직거래","-"
"683","전라남도 해남군 송지면 미야리","3**","단독","8m미만","36.36","221.00","202507","08","700","개인","개인","1944","미야안길","-","직거래","-"
"684","경상북도 경주시 안강읍 양월리","1***","단독","8m미만","38.00","337.00","202507","08","7,150","개인","개인","1955","비화중로","-","직거래","-"
"685","부산광역시 남구 대연동","2**","단독","8m미만","76.53","146.00","202507","08","25,000","개인","개인","1982","황령대로","-","직거래","-"
"686","경상남도 밀양시 부북면 운전리","4**","단독","8m미만","155.00","517.00","202507","08","16,000","개인","개인","1997","운전1길","-","중개거래","경남 밀양시"
"687","전라남도 나주시 노안면 도산리","2**","단독","8m미만","118.26","704.00","202507","08","5,000","개인","개인","1997","도산길","-","직거래","-"
"688","경상남도 진주시 망경동","1*","단독","8m미만","35.70","106.00","202507","08","8,500","개인","개인","1970","강남로305번길","-","중개거래","경남 진주시"
"689","경기도 안양시 동안구 관양동","1***","단독","8m미만","69.08","105.60","202507","08","72,000","개인","개인","1985","인덕원로12번길","-","직거래","-"
"690","경상북도 문경시 점촌동","4**","단독","8m미만","91.38","139.00","202507","08","8,500","개인","개인","1987","점촌4길","-","중개거래","경북 문경시"
"691","경상남도 의령군 의령읍 동동리","1***","단독","25m미만","76.05","336.20","202507","08","22,500","개인","개인","2021","행복로1길","-","중개거래","경남 의령군"
"692","부산광역시 금정구 서동","3**","다가구","8m미만","103.81","50.00","202507","08","10,000","개인","개인","1994","삼차로","-","직거래","-"
"693","경상북도 영주시 풍기읍 성내리","1*","단독","8m미만","74.22","177.80","202507","08","8,000","개인","개인","1982","기주로","-","직거래","-"
"694","경상남도 창녕군 영산면 성내리","5**","단독","12m미만","49.90","56.00","202507","08","6,000","개인","개인","2019","성내뒷들길","-","중개거래","경남 창녕군"
"695","경상남도 고성군 상리면 부포리","5**","단독","12m미만","56.30","241.00","202507","08","3,450","개인","개인","1970","부포로","-","직거래","-"
"696","경상남도 남해군 이동면 무림리","1***","단독","8m미만","46.28","238.00","202507","08","4,000","개인","개인","1960","무림로68번길","-","직거래","-"
"697","경상북도 영천시 고경면 상덕리","4**","단독","8m미만","51.57","288.00","202507","08","2,200","개인","개인","1972","양달길","-","직거래","-"
"698","대전광역시 동구 이사동","1**","단독","8m미만","125.38","383.00","202507","08","10,000","개인","개인","1925","이사로","-","직거래","-"
"699","대전광역시 중구 대흥동","2**","단독","12m미만","66.75","278.00","202507","08","42,100","개인","개인","1972","대흥로10번길","-","중개거래","대전 중구"
"700","충청북도 청주시 청원구 우암동","1**","단독","12m미만","63.90","128.00","202507","08","10,300","개인","개인","1977","대성로","-","직거래","-"
"701","전라남도 장흥군 안양면 수문리","3*","단독","12m미만","89.28","243.00","202507","08","10,000","개인","개인","2013","용곡길","-","직거래","-"
"702","충청남도 서천군 서천읍 사곡리","3**","단독","8m미만","80.92","167.00","202507","08","16,700","개인","개인","1984","서천로131번길","-","직거래","-"
"703","충청남도 천안시 서북구 입장면 하장리","1*","다가구","12m미만","427.98","301.00","202507","08","90,200","개인","법인","2022","성진로","-","직거래","-"
"704","제주특별자치도 제주시 한림읍 협재리","1***","단독","8m미만","72.34","247.00","202507","08","23,000","개인","개인","2015","협재8길","-","직거래","-"
"705","제주특별자치도 제주시 한림읍 협재리","1***","단독","8m미만","80.18","272.00","202507","08","26,000","개인","개인","2015","협재8길","-","직거래","-"
"706","경상북도 영덕군 강구면 오포리","2**","단독","8m미만","57.44","149.00","202507","08","6,300","개인","개인","1962","오포6길","-","직거래","-"
"707","제주특별자치도 제주시 한림읍 협재리","1***","단독","8m미만","72.34","247.00","202507","08","23,000","개인","개인","2015","협재8길","-","직거래","-"
"708","전라남도 장흥군 관산읍 옥당리","4**","단독","8m미만","92.56","188.00","202507","08","5,000","개인","개인","1960","옥당2길","-","직거래","-"
"709","대구광역시 북구 검단동","1***","다가구","8m미만","659.41","474.00","202507","08","162,458","공공기관","개인","2024","검단북로40길","-","직거래","-"
"710","서울특별시 마포구 대흥동","2*","단독","8m미만","25.80","43.00","202507","08","43,000","개인","개인","1961","대흥로","-","중개거래","서울 마포구"
"711","강원특별자치도 원주시 인동","2*","단독","25m미만","94.07","80.00","202507","08","30,000","법인","개인","","중앙로","-","중개거래","강원 원주시"
"712","제주특별자치도 서귀포시 남원읍 신흥리","7*","단독","8m미만","195.99","395.00","202507","08","62,000","개인","개인","2023","신흥앞동산로40번길","-","중개거래","제주 제주시"
"713","서울특별시 관악구 신림동","3**","단독","8m미만","111.10","109.00","202507","08","70,000","개인","개인","1974","양지2길","-","직거래","-"
"714","충청남도 논산시 연산면 신양리","3**","단독","8m미만","74.48","428.00","202507","08","8,000","개인","개인","1991","남신양길","-","직거래","-"
"715","충청남도 천안시 동남구 청수동","3**","단독","12m미만","249.69","229.90","202507","08","69,000","개인","개인","2012","청수15길","-","중개거래","충남 천안시 동남구"
"716","울산광역시 울주군 온산읍 덕신리","1***","단독","8m미만","365.75","191.10","202507","08","39,500","개인","개인","2010","영남5길","-","중개거래","울산 울주군"
"717","전라남도 화순군 사평면 내리","6**","단독","8m미만","142.15","460.00","202507","08","19,891","공공기관","개인","2012","남평촌길","-","직거래","-"
"718","울산광역시 울주군 온산읍 덕신리","4**","다가구","12m미만","366.50","155.90","202507","08","50,000","개인","개인","2013","신온8길","-","중개거래","울산 남구, 울산 울주군"
"719","충청북도 청주시 청원구 우암동","3**","다가구","8m미만","277.92","178.50","202507","08","30,000","개인","개인","1999","교서로168번길","-","직거래","-"
"720","울산광역시 중구 복산동","2**","단독","8m미만","171.71","184.30","202507","08","41,000","개인","개인","1988","도화골12길","-","중개거래","울산 중구"
"721","전라남도 화순군 백아면 맹리","5**","단독","12m미만","108.77","109.00","202507","08","9,000","공공기관","개인","2014","맹리길","-","직거래","-"
"722","울산광역시 중구 태화동","2*","단독","12m미만","106.90","121.20","202507","08","11,800","개인","개인","1985","화진4길","-","직거래","-"
"723","전북특별자치도 고창군 공음면 군유리","2**","단독","8m미만","99.12","572.00","202507","08","8,000","개인","개인","2005","상군2길","-","직거래","-"
"724","울산광역시 울주군 삼동면 보은리","1**","단독","12m미만","116.41","653.00","202507","08","29,100","개인","개인","2003","보은로","-","중개거래","울산 울주군"
"725","강원특별자치도 강릉시 구정면 학산리","4**","단독","8m미만","127.82","462.00","202507","08","36,000","개인","개인","2023","생길목길","-","중개거래","강원 강릉시"
"726","충청북도 진천군 이월면 신월리","5**","단독","8m미만","62.72","436.00","202507","08","8,300","개인","개인","1957","물미길","-","중개거래","충북 진천군"
"727","충청북도 청주시 흥덕구 봉명동","2***","단독","12m미만","454.14","216.20","202507","08","83,500","개인","개인","2013","덕암로24번길","-","중개거래","충북 청주시 상당구"
"728","전라남도 화순군 백아면 옥리","2**","단독","8m미만","98.14","528.00","202507","08","12,257","공공기관","개인","1999","구수길","-","직거래","-"
"729","전라남도 화순군 도곡면 월곡리","5**","단독","8m미만","83.16","1147.00","202507","08","20,000","개인","개인","2008","달아실길","-","중개거래","전남 화순군"
"730","충청북도 단양군 가곡면 사평리","6*","단독","8m미만","203.55","650.00","202507","08","20,000","개인","개인","2016","남한강로","-","직거래","-"
"731","전라남도 영암군 군서면 모정리","6**","단독","8m미만","33.00","211.00","202507","08","2,500","개인","개인","1980","모정1길","-","직거래","-"
"732","충청북도 단양군 매포읍 고양리","1**","단독","8m미만","99.69","311.00","202507","08","14,900","개인","개인","1996","고양1길","-","중개거래","충북 제천시"
"733","전라남도 보성군 조성면 은곡리","8**","단독","8m미만","74.30","347.00","202507","08","1,900","개인","개인","1961","사초길","-","중개거래","전남 보성군"
"734","경상남도 창원시 진해구 여좌동","9*","단독","8m미만","29.09","50.60","202507","08","3,000","개인","개인","1940","여좌로58번길","-","중개거래","경남 창원시 성산구"
"735","경기도 이천시 장호원읍 선읍리","6*","단독","8m미만","84.23","656.00","202507","08","30,000","개인","개인","2023","경충대로307번길","-","직거래","-"
"736","경상북도 청도군 화양읍 범곡리","5**","단독","8m미만","122.39","126.00","202507","08","21,000","개인","개인","1989","청화1길","-","중개거래","경북 경산시"
"737","강원특별자치도 횡성군 둔내면 삽교리","1***","단독","8m미만","72.00","524.00","202507","08","19,000","개인","개인","2014","용현로","-","중개거래","강원 횡성군"
"738","충청남도 보령시 주포면 마강리","4**","단독","12m미만","98.54","703.00","202507","07","10,000","개인","개인","1994","충청수영로","-","직거래","-"
"739","부산광역시 금정구 남산동","1**","다가구","12m미만","167.02","338.50","202507","07","150,120","법인","개인","1979","중앙대로2007번길","-","중개거래","부산 금정구"
"740","전라남도 영암군 금정면 아천리","1***","단독","8m미만","120.04","906.00","202507","07","4,000","개인","개인","1965","백운길","-","중개거래","전남 영암군"
"741","부산광역시 금정구 부곡동","3**","단독","8m미만","96.86","155.00","202507","07","26,500","개인","개인","1975","부곡로168번길","-","직거래","-"
"742","부산광역시 금정구 서동","2**","단독","12m미만","140.23","157.40","202507","07","13,700","개인","개인","1978","반송로354번길","-","중개거래","부산 동래구"
"743","경상북도 예천군 예천읍 대심리","5*","단독","8m미만","74.34","205.00","202507","07","11,500","개인","개인","1982","대심3길","-","직거래","-"
"744","전라남도 해남군 북평면 남창리","3**","단독","8m미만","67.40","254.00","202507","07","4,000","개인","개인","1976","달량진길","-","중개거래","전남 해남군"
"745","대구광역시 중구 북성로2가","3*","단독","8m미만","34.64","66.80","202507","07","4,000","개인","개인","1969","서성로16길","-","직거래","-"
"746","대구광역시 동구 효목동","4**","단독","8m미만","140.00","154.30","202507","07","21,700","개인","개인","1985","효신로8길","-","중개거래","대구 동구"
"747","대구광역시 서구 비산동","1***","단독","8m미만","61.81","174.20","202507","07","21,000","개인","개인","1972","서대구로66길","-","중개거래","대구 서구"
"748","경상북도 봉화군 물야면 가평리","4**","단독","8m미만","72.60","200.00","202507","07","2,000","개인","개인","1993","","-","직거래","-"
"749","경상북도 봉화군 물야면 가평리","4**","단독","8m미만","85.20","790.00","202507","07","15,000","개인","개인","2008","팔은길","-","직거래","-"
"750","전라남도 장흥군 유치면 조양리","5**","단독","8m미만","111.09","215.00","202507","07","2,500","개인","개인","1998","조양2길","-","직거래","-"
"751","대구광역시 남구 대명동","4**","단독","25m미만","63.21","386.10","202507","07","103,000","개인","개인","1968","큰골길","20250712","중개거래","경북 구미시"
"752","경상북도 봉화군 법전면 법전리","5*","단독","8m미만","124.18","1564.00","202507","07","10,900","개인","개인","2000","법전로","-","중개거래","경북 봉화군"
"753","대구광역시 수성구 황금동","5**","단독","12m미만","160.82","265.50","202507","07","83,000","개인","개인","1987","청수로31길","-","중개거래","대구 북구"
"754","전라남도 화순군 한천면 한계리","6**","단독","8m미만","62.80","287.00","202507","07","4,780","개인","개인","1979","한계3길","-","직거래","-"
"755","서울특별시 서대문구 북아현동","6**","다가구","8m미만","184.03","106.00","202507","07","157,000","개인","개인","1991","북아현로4바길","-","중개거래","서울 서대문구"
"756","전라남도 보성군 조성면 조성리","6**","단독","12m미만","90.06","172.00","202507","07","9,500","개인","개인","1981","조성로","-","중개거래","전남 고흥군"
"757","인천광역시 미추홀구 주안동","1***","단독","12m미만","63.00","137.50","202507","07","20,000","개인","개인","1980","승학길76번길","-","중개거래","인천 미추홀구"
"758","인천광역시 미추홀구 주안동","6**","단독","8m미만","76.99","153.70","202507","07","24,000","개인","개인","1977","경인남길","-","중개거래","인천 미추홀구"
"759","인천광역시 남동구 만수동","9**","다가구","12m미만","140.47","97.10","202507","07","35,000","개인","개인","1993","하촌로59번길","-","중개거래","인천 남동구"
"760","전라남도 구례군 간전면 흥대리","3**","단독","8m미만","84.20","521.00","202507","07","15,000","개인","개인","1998","대촌길","-","중개거래","전남 순천시"
"761","전라남도 곡성군 겸면 남양리","1**","단독","8m미만","123.36","522.00","202507","07","2,500","개인","개인","1978","남양길","-","직거래","-"
"762","인천광역시 서구 가좌동","1**","단독","8m미만","82.47","145.90","202507","07","25,000","개인","개인","1981","가석로156번길","-","직거래","-"
"763","전라남도 곡성군 죽곡면 용정리","2**","단독","12m미만","28.40","354.00","202507","07","7,300","개인","개인","1946","대황강로","-","직거래","-"
"764","경기도 용인시 처인구 삼가동","2**","단독","8m미만","124.51","231.00","202507","07","57,000","개인","개인","2018","금학로","-","직거래","-"
"765","서울특별시 도봉구 방학동","6**","다가구","8m미만","177.81","116.50","202507","07","56,380","공공기관","개인","1991","방학로3길","-","직거래","-"
"766","서울특별시 강북구 수유동","4**","단독","8m미만","29.75","83.00","202507","07","25,000","개인","개인","1971","인수봉로40길","-","중개거래","서울 강북구, 서울 동대문구"
"767","경상남도 사천시 축동면 구호리","5**","단독","8m미만","61.71","109.00","202507","07","3,200","개인","개인","1994","구해창길","-","직거래","-"
"768","경상남도 사천시 곤양면 대진리","3**","단독","8m미만","49.59","420.00","202507","07","5,700","개인","개인","1978","어류길","-","중개거래","경남 사천시"
"769","전라남도 담양군 담양읍 천변리","2*","단독","8m미만","69.38","783.00","202507","07","30,000","개인","개인","1978","천변3길","-","중개거래","전남 담양군"
"770","경상북도 경산시 사정동","*","단독","8m미만","65.31","165.00","202507","07","15,000","개인","개인","1983","경산로32길","-","중개거래","대구 수성구"
"771","경상남도 사천시 곤명면 작팔리","2**","단독","8m미만","56.20","830.00","202507","07","5,000","개인","개인","1950","작팔1길","-","직거래","-"
"772","전북특별자치도 전주시 덕진구 인후동1가","4**","단독","12m미만","79.78","163.00","202507","07","14,500","개인","개인","1980","건산로","-","중개거래","전북 전주시 덕진구"
"773","경상남도 밀양시 하남읍 백산리","1***","단독","12m미만","90.10","243.00","202507","07","16,250","개인","개인","2016","수산로","-","중개거래","경남 밀양시"
"774","서울특별시 성북구 삼선동1가","2**","단독","8m미만","23.87","41.20","202507","07","27,800","개인","개인","1989","삼선교로6길","-","중개거래","서울 성북구"
"775","전라남도 여수시 소라면 죽림리","9**","단독","8m미만","121.88","401.00","202507","07","40,521","개인","개인","2017","서부로","-","직거래","-"
"776","광주광역시 북구 북동","5*","단독","8m미만","36.35","95.90","202507","07","1,000","개인","개인","1990","금재로36번길","20250715","직거래","-"
"777","광주광역시 북구 두암동","5**","다가구","8m미만","141.04","139.50","202507","07","13,000","개인","개인","1989","군왕로182번길","-","중개거래","광주 북구"
"778","서울특별시 동대문구 청량리동","2**","단독","8m미만","134.16","89.00","202507","07","91,000","개인","개인","2025","제기로23길","-","중개거래","서울 동대문구"
"779","충청남도 당진시 정미면 매방리","5**","단독","8m미만","70.20","642.00","202507","07","18,900","개인","개인","2021","매방리길","-","중개거래","충남 당진시"
"780","충청남도 당진시 석문면 난지도리","3**","다가구","8m미만","224.31","606.00","202507","07","17,868","개인","개인","2013","난지2길","-","직거래","-"
"781","서울특별시 광진구 구의동","5*","다가구","8m미만","140.70","109.50","202507","07","95,000","개인","개인","1996","천호대로135길","-","중개거래","서울 광진구"
"782","대전광역시 동구 대별동","8*","단독","12m미만","59.50","559.00","202507","07","74,360","법인","개인","1925","산서로","-","중개거래","대전 동구"
"783","대전광역시 중구 선화동","4**","단독","8m미만","125.88","171.90","202507","07","35,500","개인","개인","1985","선화로58번길","-","중개거래","대전 중구"
"784","경기도 용인시 처인구 양지면 양지리","6**","단독","12m미만","70.75","118.00","202507","07","10,000","개인","개인","2003","교동로","-","직거래","-"
"785","경상남도 산청군 산청읍 모고리","6**","단독","8m미만","29.42","443.00","202507","07","5,800","개인","개인","1945","모고길","-","중개거래","경남 진주시"
"786","경상남도 거창군 거창읍 송정리","1***","다가구","12m미만","314.52","218.60","202507","07","72,800","개인","개인","2018","송정1길","-","직거래","-"
"787","경상남도 합천군 청덕면 운봉리","6**","단독","8m미만","73.70","288.00","202507","07","1,100","개인","개인","1977","강북로","-","직거래","-"
"788","대전광역시 서구 변동","4*","단독","8m미만","102.43","160.70","202507","07","30,000","개인","개인","1982","변정6길","-","중개거래","대전 서구"
"789","경상남도 진주시 상봉동","9**","다가구","8m미만","329.58","222.00","202507","07","32,000","개인","법인","2019","비봉로82번길","-","직거래","-"
"790","제주특별자치도 제주시 한경면 저지리","2***","단독","8m미만","52.23","578.00","202507","07","8,000","개인","개인","1996","중산간서로","-","직거래","-"
"791","제주특별자치도 서귀포시 대정읍 구억리","1***","단독","12m미만","168.39","264.70","202507","07","91,000","개인","개인","2015","글로벌에듀로145번길","-","중개거래","제주 서귀포시"
"792","대전광역시 유성구 원내동","9*","다가구","12m미만","304.12","154.40","202507","07","49,000","개인","개인","2014","진잠로106번길","-","중개거래","대전 유성구"
"793","제주특별자치도 서귀포시 남원읍 신흥리","8**","단독","8m미만","100.00","500.00","202507","07","28,000","개인","개인","2016","중산간동로","-","중개거래","제주 서귀포시"
"794","대전광역시 유성구 구암동","6**","다가구","12m미만","415.70","239.40","202507","07","71,000","개인","개인","2014","동서대로5번길","-","중개거래","대전 유성구"
"795","강원특별자치도 춘천시 신북읍 율문리","4**","단독","8m미만","60.65","162.00","202507","07","14,000","개인","개인","1999","사랑말2길","-","중개거래","강원 춘천시"
"796","전북특별자치도 전주시 덕진구 송천동1가","4**","단독","8m미만","84.83","194.00","202507","07","22,200","개인","개인","1986","솔내7길","-","중개거래","전북 전주시 덕진구"
"797","강원특별자치도 원주시 흥업면 대안리","5**","단독","8m미만","141.49","657.00","202507","07","40,000","개인","개인","2023","돼니길","-","직거래","-"
"798","울산광역시 중구 교동","2**","단독","8m미만","68.17","126.00","202507","07","44,600","개인","개인","1983","지예길","-","중개거래","울산 중구"
"799","강원특별자치도 삼척시 미로면 하거노리","4**","단독","8m미만","102.83","162.00","202507","07","3,450","개인","개인","1980","강원남부로","-","직거래","-"
"800","전북특별자치도 전주시 완산구 중노송동","3**","단독","8m미만","53.55","152.00","202507","07","10,400","개인","법인","1947","견훤왕궁로","-","직거래","-"
"801","전북특별자치도 전주시 완산구 풍남동3가","5*","단독","8m미만","68.42","121.00","202507","07","28,500","개인","개인","2014","한지길","-","중개거래","전북 전주시 완산구"
"802","강원특별자치도 홍천군 두촌면 원동리","4**","단독","12m미만","123.97","552.00","202507","07","18,000","개인","개인","2018","원동조교로","-","직거래","-"
"803","경기도 평택시 독곡동","1**","단독","8m미만","221.81","714.00","202507","07","60,000","개인","개인","2005","오리곡길","-","중개거래","경기 고양시 덕양구"
"804","경상남도 창원시 진해구 경화동","1***","단독","8m미만","140.45","146.10","202507","07","14,000","개인","개인","1996","경화로7번길","-","중개거래","경남 창원시 진해구"
"805","충청북도 괴산군 청안면 백봉리","2**","단독","8m미만","73.37","445.00","202507","07","4,300","개인","개인","2024","백봉2길","-","중개거래","충북 증평군"
"806","강원특별자치도 홍천군 서면 대곡리","9**","단독","8m미만","69.15","360.00","202507","07","8,780","개인","개인","2021","한서로","-","중개거래","강원 원주시"
"807","충청북도 괴산군 청천면 상신리","1**","단독","8m미만","81.23","1153.00","202507","07","12,000","개인","개인","1952","괴산로상신3길","-","직거래","-"
"808","충청북도 괴산군 청천면 평단리","1**","단독","8m미만","89.50","627.00","202507","07","11,300","개인","개인","2010","괴산로평단1길","-","직거래","-"
"809","강원특별자치도 강릉시 내곡동","6**","단독","8m미만","307.51","194.90","202507","07","23,000","개인","개인","1989","관대길","-","직거래","-"
"810","경기도 고양시 덕양구 고양동","8**","단독","12m미만","55.08","304.00","202507","07","38,000","개인","개인","2000","보광로12번길","-","직거래","-"
"811","충청북도 보은군 수한면 거현리","2**","단독","8m미만","90.17","495.00","202507","07","15,000","개인","개인","1994","거현2길","-","중개거래","충북 보은군"
"812","강원특별자치도 정선군 화암면 화암리","3**","단독","8m미만","43.32","238.00","202507","07","3,500","개인","개인","2007","맷돌바위길","-","직거래","-"
"813","경상남도 창원시 마산합포구 신창동","2*","단독","12m미만","174.52","228.10","202507","07","24,400","개인","개인","1987","문화북3길","-","중개거래","경남 창원시 마산합포구"
"814","경기도 여주시 점봉동","9*","단독","8m미만","91.12","285.00","202507","07","19,244","개인","개인","2014","세종로517번길","-","중개거래","경기 여주시"
"815","충청북도 충주시 엄정면 괴동리","5**","단독","8m미만","81.29","1316.00","202507","07","12,000","개인","개인","1967","동도리길","-","직거래","-"
"816","충청북도 충주시 봉방동","2**","단독","12m미만","260.10","168.10","202507","07","21,000","개인","개인","1993","봉방7길","-","직거래","-"
"817","강원특별자치도 철원군 서면 와수리","2***","단독","12m미만","157.85","458.70","202507","07","39,700","개인","개인","2016","아리랑로","-","직거래","-"
"818","충청북도 충주시 연수동","7**","다가구","8m미만","617.95","414.00","202507","07","112,000","개인","개인","2013","금곡로","-","직거래","-"
"819","경기도 성남시 분당구 구미동","5*","다가구","8m미만","452.64","228.20","202507","07","183,500","개인","개인","2000","미금일로80번길","-","중개거래","경기 성남시 분당구"
"820","강원특별자치도 인제군 남면 관대리","4**","단독","12m미만","99.45","594.00","202507","07","17,800","개인","개인","2012","관대두무로","-","직거래","-"
"821","충청북도 제천시 화산동","2**","단독","8m미만","36.36","83.00","202507","07","3,200","개인","개인","1960","의림대로6길","-","직거래","-"
"822","경기도 여주시 세종대왕면 양거리","5**","단독","12m미만","49.28","288.00","202507","07","10,150","개인","개인","2018","매양로","-","직거래","-"
"823","충청북도 청주시 흥덕구 비하동","6**","다가구","8m미만","412.93","239.00","202507","07","71,500","개인","개인","2013","청향로23번길","-","중개거래","충북 청주시 흥덕구"
"824","전북특별자치도 군산시 수송동","7**","단독","12m미만","492.99","296.80","202507","07","65,000","개인","개인","2011","남수송6길","-","중개거래","전북 군산시"
"825","경기도 수원시 영통구 영통동","1***","다가구","12m미만","465.26","222.70","202507","07","118,500","개인","개인","2000","청명로59번길","-","중개거래","경기 수원시 영통구"
"826","경기도 수원시 팔달구 화서동","1**","단독","12m미만","245.06","85.00","202507","07","52,500","개인","개인","1991","팔달로107번길","-","중개거래","경기 수원시 팔달구"
"827","경기도 화성시 우정읍 호곡리","1***","단독","8m미만","37.60","194.00","202507","07","2,800","법인","개인","2020","평밭길","-","직거래","-"
"828","충청북도 청주시 청원구 내덕동","1**","다가구","8m미만","189.69","165.00","202507","07","16,700","개인","개인","1994","안덕벌로19번길","-","중개거래","충북 청주시 청원구"
